Hub
Function,Total_Syscalls,Total_Syscalls_Success,Total_Syscalls_Failed,Min,Max,Average,Stdev,Failure,Context,Increase,Importance
syscall_close,2528,2528,0,0.0009999967005569488,0.15800000255694613,0.0021344936768297046,0.004031547173736236,0.0,0.0,0.0,0.0
__GI___close_nocancel,1010,1010,0,0.0009999967005569488,0.03399999695830047,0.0022475247461254256,0.0015131136973583735,0.0,0.0,0.0,0.0
syscall_read,602407,602407,0,0.0,2.9900000008638017,0.001993806513029419,0.009153643817728643,0.0,0.0,0.0,0.0
__GI___read_nocancel,505,505,0,0.0019999970390927047,0.019999999494757503,0.003483168285750406,0.0010857179976308444,0.0,0.0,0.0,0.0
syscall_pread64,3030,3030,0,0.0009999967005569488,0.03199999991920777,0.0019108911296840689,0.0013482366179335251,0.0,0.0,0.0,0.0
__GI___pread64_nocancel,3030,3030,0,0.0009999967005569488,0.03199999991920777,0.0019108911296840689,0.0013482366179335251,0.0,0.0,0.0,0.0
_dl_map_object_from_fd,1010,1010,0,0.0009999967005569488,0.024000000848900527,0.0017841584831510791,0.0016080035185870505,0.0,0.0,0.0,0.0
init_tls,505,505,0,0.0,0.0030000010156072676,0.001110891090581507,0.00043595840406891403,0.0,0.0,0.0,0.0
syscall_mprotect,1515,1515,0,0.045000000682193786,0.6290000019362196,0.06528778872427703,0.025749511363057705,0.0,0.0,0.0,0.0
mprotect,1515,1515,0,0.045000000682193786,0.6290000019362196,0.06528778872427703,0.025749511363057705,0.0,0.0,0.0,0.0
dl_main,1515,1515,0,0.045000000682193786,0.6290000019362196,0.06528778872427703,0.025749511363057705,0.0,0.0,0.0,0.0
syscall_munmap,505,505,0,0.014000001101521775,0.7540000005974434,0.022227722783469236,0.03401886769926064,0.0,0.0,0.0,0.0
munmap,505,505,0,0.014000001101521775,0.7540000005974434,0.022227722783469236,0.03401886769926064,0.0,0.0,0.0,0.0
__brk,1010,1010,0,0.0009999967005569488,0.22600000011152588,0.031116831703209502,0.03149424114838263,0.0,0.0,0.0,0.0
__GI___libc_open,6,6,0,0.009999999747378752,0.058000001445179805,0.02516666609153617,0.02065349042237873,0.0,0.0,0.0,0.0
syscall_dup2,1,1,0,0.0040000013541430235,0.0040000013541430235,0.0,0.0,0.0,0.0,0.0,0.0
__dup2,1,1,0,0.0040000013541430235,0.0040000013541430235,0.0,0.0,0.0,0.0,0.0,0.0
__libc_start_main,601930,601921,9,0.0,86224.37699999864,0.7159450916221322,247.13838666575276,0.0,4.339642019929312e-06,-4.339642019929312e-06,0.0
__fxstat64,1013,1013,0,0.0009999967005569488,0.13000000035390258,0.0029437314636620573,0.006308895881433815,0.0,0.0,0.0,0.0
syscall_clone,1010,56,954,0.0,364.5759999999427,19.708119801895133,12.657597350161637,0.0,0.0,0.0,0.0
__libc_fork,1010,56,954,0.0,364.5759999999427,19.708119801895133,12.657597350161637,0.0,0.0,0.0,0.0
syscall_wait4,1009,181,828,0.0,86224.37699999864,13563.06534192276,24352.416820392147,0.0,0.0,0.0,0.0
__GI___wait4,1009,181,828,0.0,86224.37699999864,13563.06534192276,24352.416820392147,0.1276835850620026,0.1276835850620026,0.0,0.0
main,601929,601920,9,0.0,86224.37699999864,0.7159462743946688,247.13859195295748,0.0,0.0,0.0,0.0
syscall_getppid,505,505,0,0.0019999970390927047,0.13800000306218863,0.005538613913813606,0.009701650303833811,0.0,0.0,0.0,0.0
__GI___getppid,505,505,0,0.0019999970390927047,0.13800000306218863,0.005538613913813606,0.009701650303833811,0.0,0.0,0.0,0.0
syscall_getpid,505,505,0,0.0009999967005569488,0.11100000119768083,0.0033762376141125835,0.0062272626352431245,0.0,0.0,0.0,0.0
__getpid,505,505,0,0.0009999967005569488,0.11100000119768083,0.0033762376141125835,0.0062272626352431245,0.0,0.0,0.0,0.0
__open64_nocancel,505,505,0,0.004999998054699972,0.047999998059822246,0.009332673192210957,0.004417702159400729,0.0,0.0,0.0,0.0
__read_nocancel,2,2,0,0.0019999970390927047,0.004999998054699972,0.0034999975468963385,0.0021213210617024286,0.0,0.0,0.0,0.0
syscall_lseek,3,3,0,0.0020000006770715117,0.0030000010156072676,0.002333334123250097,0.0005773504646433355,0.0,0.0,0.0,0.0
llseek@GLIBC_2.2.5,3,3,0,0.0020000006770715117,0.0030000010156072676,0.002333334123250097,0.0005773504646433355,0.0,0.0,0.0,0.0
__close_nocancel,1513,1513,0,0.0009999967005569488,0.15800000255694613,0.002056840729659795,0.00506120687252201,0.0,0.0,0.0,0.0
factorial,2513,1689,824,0.0,86030.46900000118,5377.188335853599,16645.35854209741,0.0,0.044328366446633065,-0.044328366446633065,0.0
syscall_execve,504,504,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
__GI___execve,504,504,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_nl_find_locale,1512,1512,0,0.0009999967005569488,0.13000000035390258,0.004673280369224909,0.005904523868092846,0.0,0.0,0.0,0.0
setlocale,1512,1512,0,0.0009999967005569488,0.13000000035390258,0.004673280369224909,0.005904523868092846,0.0,0.0,0.0,0.0
__mmap,504,504,0,0.04099999932805076,0.7889999978942797,0.05971626994742398,0.03918413548261422,0.0,0.0,0.0,0.0
syscall_write,535,534,1,0.014999997802078724,15.122000000701519,0.17942242986940404,0.7122356958249315,0.0,0.0,0.0,0.0
__GI___libc_write,535,534,1,0.014999997802078724,15.122000000701519,0.17942242986940404,0.7122356958249315,6.151647550258048e-06,6.151647550258048e-06,0.0,0.0
syscall_exit_group,505,505,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_exit,505,505,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
syscall_newstat,505,505,0,0.006999998731771484,0.4840000001422595,0.014718811799677569,0.02492863112211289,0.0,0.0,0.0,0.0
__xstat64,505,505,0,0.006999998731771484,0.4840000001422595,0.014718811799677569,0.02492863112211289,0.0,0.0,0.0,0.0
findMin,1509,1173,336,0.0,86030.46900000118,8812.362088800557,20696.940806205308,0.0,0.0,0.0,0.0
subtract,1506,1171,335,0.0,86030.46900000118,8829.686132802153,20713.911361727954,0.0,0.0006809791623038909,-0.0006809791623038909,0.0
chain4,601909,601907,2,0.0,85475.6129999987,0.1445767001325983,110.17431883273338,0.0,0.0,0.0,0.0
chain1,601909,601907,2,0.0,85475.6129999987,0.1445767001325983,110.17431883273338,0.0,4.979174275717257e-08,-4.979174275717257e-08,0.0
read,601900,601900,0,0.0,2.9900000008638017,0.001992551919114663,0.009157341802878555,0.0,0.0,0.0,0.0
__close,5,5,0,0.0019999970390927047,0.004999998054699972,0.0027999994927085936,0.001303839945867478,0.0,0.0,0.0,0.0
chain7,401277,401276,1,0.0,347.07200000048033,0.0028287915830037215,0.5479542522631894,0.0,2.070644600711266e-08,-2.070644600711266e-08,0.0
chain9,3,2,1,0.0009999967005569488,347.07200000048033,115.69199999939883,200.38095793107527,0.0,0.0007584243559138615,-0.0007584243559138615,0.0
chain2,2,2,0,0.0030000010156072676,0.004999998054699972,0.00399999953515362,0.0014142114686954681,0.0,0.0,0.0,0.0
